"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1903 <= Year >= 2023"",""Country = TURKEY"",""Earthquake Magnitude >= 2.5""]"																																						
	2003	7	26	8	36	49.1			"TURKEY:  WESTERN:  BULDAN"	38.019	28.927	10	5.4						10	1		1	1	1	1	1					10	1		1	1	1		1
	2004	3	25	19	30	49			"TURKEY:  ERZURUM"	39.93	40.812		5.6		10	1			46	1		1	45	1	45	1	10	1			46	1		1	45	1		
	2004	3	28	3	51	10			"TURKEY:  ASKALE"	39.847	40.874	5	5.6						12	1		1	50	1	50	1					12	1		1	50	1		
	2004	7	1	22	30	9.3			"TURKEY:  DOGUBEYAZIT"	39.766	43.979	5	5.1		18	1			21	1							18	1			21	1						
	2004	7	30	7	14	7.8			"TURKEY:  DOGUBEYAZIT"	39.634	43.966	5	4		1	1			5	1		1					1	1			5	1		1				2
	2004	8	4	3	1	7.5			"TURKEY:  BODRUM"	36.833	27.815	10	5.6						15	1											15	1						
	2004	8	11	15	48	26.8			"TURKEY:  ELAZIG, SIVRICE"	38.377	39.261	7	5.7		1	1			11	1		1					1	1			11	1		1				
	2004	12	20	23	2	12.4			"TURKEY:  MARMARIS"	37.042	28.206	5	5.4						3	1		1									3	1		1				
	2005	1	25	16	44	16.1			"TURKEY:  HAKKARI"	37.622	43.703	41	5.9		2	1			22	1		1					2	1			22	1		1				
	2005	3	12	7	36	12.1			"TURKEY:  CAT, KARLIOVA"	39.44	40.978	11	5.6						16	1		2									16	1		2				
	2005	3	14	1	55	55.6			"TURKEY:  EASTERN:  BINGOL PROVINCE"	39.354	40.89	5	5.8						18	1		3		2		2					18	1		3		2		
	2005	7	30	21	45	0			"TURKEY:  BAHCEKARADALAK, SIRAPINAR, YENIYAPANSEYHLI"	39.437	33.089	5	5.3									1												1				
	2005	10	20	21	40	4			"TURKEY:  IZMIR"	38.152	26.751	10	5.9		1	1			15	1		1		2		2	1	1			15	1		1		2		
	2005	11	26	15	56	55			"TURKEY:  DOGANYOL"	38.26	38.814	9	4.4									1												1				
	2005	12	24	3	56	7.3			"TURKEY:  AKHISAR"	38.804	26.783	14	4.3									1												1				
	2006	6	3	11	7	45			"TURKEY:  HAKKARI"	37.605	43.787	10	4.1									1												1				
	2007	1	21	7	38	57			"TURKEY:  E"	39.592	42.863	3	5.1						2	1		1									2	1		1				
	2007	2	21	11	5	29.2			"TURKEY:  DOGANKOY, PUTURGE, SIVRICE"	38.318	39.267	10	5.7									1		1		1								1		1		
	2007	12	20	9	48	29.9			"TURKEY:  CENTRAL:  YENIYAPAN, ABAZLAR, SUYUGUZEL"	39.417	33.212	10	5.7									1		1		1								1		1		
	2007	12	26	23	47	10.7			"TURKEY:  CENTRAL:  ANKARA"	39.446	33.162	8	5.6									3	2214	4	2214	4								3	2214	4		
	2008	9	3	2	22	47			"TURKEY:  ADIYAMAN"	37.507	38.503	6	4.1									1												1				
	2010	3	8	2	32	34.7			"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI"	38.864	39.986	12	6.1		51	2			100	2		2	287	3	287	3	51	2			100	2		2	287	3	700	3
	2011	5	19	21	12	51			"TURKEY:  SIMAV"	39.12	29.04	7	4.3		2	1			125	3		1				2	2	1			125	3		1				2
	2011	10	23	10	41	22.9			"TURKEY:  ERCIS, VAN"	38.722	43.513	16	7.1		604	3			2608	4	1500	4	5739	4	4882	4	604	3			2608	4	1500	4	5739	4	4882	4
	2011	11	9	19	23	33.2			"TURKEY:  VAN"	38.429	43.229	5	5.7		40	1						1		1			40	1						1		1		
	2012	6	10	12	44	16.5			"TURKEY:  FETHIYE; GREECE:  RHODES"	36.42	28.88	35	6.1						6	1		1				2					6	1		1				2
	2012	6	14	5	52	53.6			"TURKEY:  SIRNAK"	37.294	42.325	5	5.3						23	1		1			25	1					23	1		1			25	1
	2017	2	6	3	52	4			"TURKEY:  CANAKKALE"	39.599	26.065	10	5.3						5	1		2			90	2					5	1		2			90	2
	2017	5	28	11	4	37			"TURKEY: MANISA: SARUHANLI, GOLMARMARA"	38.764	27.778	3	4.9									2			35	1								2			35	1
	2017	7	20	22	31	26	5655		"TURKEY: BODRUM, DATCA; GREECE: KOS"	36.929	27.414	7	6.6	7	2	1			500	3		2		1		1	2	1			500	3		2		1		1
	2018	4	24	0	34	18			"TURKEY:  ADIYAMAN"	37.596	38.514	10	5.2						39	1		1				1					39	1		1				1
	2019	8	8	11	25	31			"TURKEY:  DENIZLI"	37.948	29.697	10	5.8							1		2			976	3						1		2			976	3
	2019	9	26	10	59	26			"TURKEY:  ISTANBUL"	40.89	28.173	10	5.7		1	1			34	1		2			473	3	1	1			34	1		2			473	3
	2020	1	24	17	55	14			"TURKEY:  ELAZIG AND MALATYA PROVINCES"	38.39	39.081	12	6.7		41	1			1600	4		4	76	2		4	41	1			1600	4		4	76	2		4
	2020	6	14	14	24	29			"TURKEY:  BINGOL"	39.421	40.697	10	5.9		1	1			35	1		2				1	1	1			35	1		2				1
	2020	6	25	10	3	31			"TURKEY:  VAN"	38.558	44.023	10	5.4						5	1		2			90	2					5	1		2			90	2
	2020	10	30	11	51	27	5757		"GREECE:  SAMOS; TURKEY:  IZMIR"	37.918	26.79	21	7	8	117	3			1054	4	400	4		2		4	118	3			1054	4	400	4		2		4
	2023	2	6	1	17	35	5873		"TURKEY; SYRIA"	37.166	37.042	17	7.8	9	51882	4			119200	4	39300	4	166581	4		4	51882	4			119200	4	39300	4	166581	4		4
	2023	2	6	10	24	49			"TURKEY; SYRIA"	38.024	37.203	10	7.5	9																								
	2023	2	20	17	4	29			"TURKEY; SYRIA"	36.109	36.017	16	6.3	9	6	1			200	3							6	1			200	3						
	2023	2	27	9	4	51			"TURKEY:  MALATYA"	38.229	38.283	10	5.2	7	2	1			140	3		2	31	1			2				140	3		2	31	1		
