,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,DeathsDeath Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,location,loc
51,1959.0,4.0,25.0,0.0,26.0,0.0,,,"TURKEY:  KOYCEGIZ, MUGLA",37.0,28.7,,6.3,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(37.0, 28.7)","Toparlar Mahallesi, Köyceğiz, Ege Bölgesi, 48804, Türkiye"
52,1959.0,10.0,25.0,15.0,57.0,0.0,,,TURKEY:  NINIA,39.1,41.6,,6.2,,18.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.1, 41.6)","mahalle, Varto, Muş, Doğu Anadolu Bölgesi, Türkiye"
53,1961.0,5.0,23.0,2.0,45.0,19.0,1917.0,,TURKEY,36.693,28.594,35.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,"(36.693, 28.594)","Muğla, Ege Bölgesi, Türkiye"
54,1962.0,9.0,4.0,22.0,59.0,0.0,,,TURKEY:  IGDIR,39.9,43.9,,5.5,6.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.9, 43.9)","Iğdır Merkez, Iğdır, Doğu Anadolu Bölgesi, 76000, Türkiye"
55,1963.0,9.0,18.0,16.0,58.0,14.8,4290.0,,TURKEY:  YALOVA:  CINARCIK,40.698,29.159,30.0,6.2,8.0,1.0,1.0,,,,2.0,,2.0,7.0,1.0,163.0,3.0,1.0,1.0,,,,2.0,,2.0,7.0,1.0,163.0,3.0,"(40.698, 29.159)","Çınarcık, Yalova, Marmara Bölgesi, 77300, Türkiye"
56,1964.0,6.0,14.0,12.0,16.0,0.0,,,"TURKEY:  MALATYA,ADIYAMAN",38.1,38.3,,6.1,8.0,8.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(38.1, 38.3)","Bozgedik, Adıyaman, Güneydoğu Anadolu Bölgesi, Türkiye"
57,1964.0,10.0,6.0,14.0,31.0,25.4,,,"TURKEY:  MANYAS, BURSA, BALIKESIR",40.203,28.206,27.0,6.8,10.0,19.0,1.0,,,,,5.0,2.0,,,,,19.0,1.0,,,,,5.0,2.0,,,,,"(40.203, 28.206)","Sultaniye, Karacabey, Marmara Bölgesi, Türkiye"
58,1966.0,3.0,7.0,1.0,16.0,0.0,,,"TURKEY:  VARTO, MUS",39.1,41.6,38.0,6.0,8.0,10.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(39.1, 41.6)","mahalle, Varto, Muş, Doğu Anadolu Bölgesi, Türkiye"
59,1966.0,5.0,2.0,23.0,13.0,0.0,,,TURKEY,38.0,42.6,41.0,4.8,,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(38.0, 42.6)","mezra, Hizan, Bitlis, Doğu Anadolu Bölgesi, Türkiye"
60,1966.0,7.0,12.0,0.0,4.0,12.0,,,TURKEY:  BAGICI,38.9,41.3,64.0,4.6,,12.0,1.0,,,20.0,1.0,,3.0,,,,,12.0,1.0,,,20.0,1.0,,3.0,,,,,"(38.9, 41.3)","Yaygın, Muş Merkez, Muş, Doğu Anadolu Bölgesi, Türkiye"
61,1966.0,8.0,19.0,12.0,22.0,12.7,,,TURKEY:  VARTO,39.235,41.572,24.0,6.8,9.0,2394.0,4.0,,,,,20.0,3.0,,,,,2394.0,4.0,,,,,20.0,3.0,,,,,"(39.235, 41.572)","Varto, Muş, Doğu Anadolu Bölgesi, Türkiye"
62,1967.0,7.0,22.0,16.0,57.0,0.7,,,"TURKEY:  MUDURNU, ADAPAZARI",40.751,30.8,30.0,7.3,10.0,86.0,2.0,,,,,3.0,2.0,,,,,86.0,2.0,,,,,3.0,2.0,,,,,"(40.751, 30.8)","Sümbüllü, Hendek, Sakarya, Marmara Bölgesi, Türkiye"
